Key;Issue id;Summary;Priority;Custom field (Test Type);Resolution;Created;Custom field (TestRunStatus);Reporter;Assignee;Custom field (Test Repository Path);Custom field (Lokasyon Text);Custom field (Location Code);Inward issue link (Defect);Inward issue link (Defect);Outward issue link (Defect);Outward issue link (Gantt End to End);Inward issue link (Gantt End to Start);Inward issue link (Parents);Inward issue link (Relates);Inward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Inward issue link (Tests)
CONG-5595;1230632;Masraf Kategorisi detayları boş gelmekte ve paket taslak statüsünde görülmektedir.;High;;;28/Jul/22 7:20 PM;;C9015107;;;;;;;;CONG-7819;;;CONG-1883;CONG-4523;;;
CONG-5863;1234589;Masraf oluşturulmak istendiğinde ve zorunlu alan iş kesici mesajın alınarak masrafı kaydedememe;High;;Done;31/Jul/22 2:50 PM;;C9015107;C9015107;;;;;;;;;;CONG-4234;;;;
CONG-5960;1238604;Connecta da sözleşme tipinde oluşturulan talebin Sap' ye satıcının müşteri alanı bilgisi gönderiliyor;Medium;;Done;01/Aug/22 3:11 PM;;C9013624;26049796;;;;CONG-2262;;;;;;;;;;
CONG-6082;1241065;New request ekranında saat barı hatası;Medium;;Done;02/Aug/22 2:17 PM;;C9015118;C9014551;;;;CONG-4742;;;;;;;;CONG-4742;;
CONG-6107;1243398;Connecta tarafında SAP değişikliklerinin yansıtılması;Medium;;Done;03/Aug/22 2:05 PM;;26049792;26049796;;;;CONG-7838;;;;;;;;;;
CONG-6136;1246235;"Takvim ekranında izin günü boş görünürken, izin alımında conflicting vermesi";High;;Won't Do;04/Aug/22 2:51 PM;;C9015118;C9013595;;;;CONG-3175;;;;;;;;;;
CONG-6749;1267140;601 şirketinde Mağaza Harcamaları / Temizlik Giderleri - İşçilik tipinde masraf oluşturulmak istendiğinde ekranda Mesai iş kesici mesajının gözükmesi;Medium;;Done;16/Aug/22 11:42 PM;;C9015107;C9013957;;;;;;;;;;CONG-4994;;;;
CONG-6785;1268047;Requested alanına talep edilen saatin gözükmemesi;Medium;;Done;17/Aug/22 1:54 PM;;C9012751;26075977;;;;CONG-3175;;;;;;;;CONG-3175;;
CONG-6816;1269673;Masraf Kategorisi seçilmeden Kaydet butonuna tıklandığında zorunlu alan uyarısı verilmemektedir.;Medium;;Done;18/Aug/22 12:32 PM;;C9015107;C9015107;;;;;;;;;;CONG-1903;;;;
CONG-6846;1270500;Kullanıcı tarafından masraf oluşturmak için Kaydet butonuna tıklandığında alınan HTTP 500: Expense/ProcessAction hatası;High;;Done;18/Aug/22 10:05 PM;;C9015107;C9013486;;;;;;;;;;CONG-2602;;;;
CONG-6897;1277683;Talepler istek sayfasına düşmüyor;Blocker;;Done;23/Aug/22 5:02 PM;;C9013624;26049796;;;;CONG-2230;;;;;;;;;;
CONG-6902;1278543;SAP de Satıcı ana veri vadesi değişmesine rağmen Forma yansımıyor. ;High;;Done;24/Aug/22 10:04 AM;;AR002311;26049796;;;;CONG-2215;;;;;PRJ-757;;;;;
CONG-7486;1300826;Masraf item içerisinde ek dosya yer almamasına rağmen onaya gönderilmek istenildiğinde Ek Dosya zorunludur uyarısı alınmaktadır.;Medium;;Done;07/Sep/22 12:56 PM;;C9015107;C9005239;;;;;;;;;;CONG-4299;CONG-5020;;;
CONG-7613;1316218;"Intra City kategorisinde draft , send back statülerinde olan masraf paketlerinde güncelleme yapılmak istenildiğinde ekranda kaydet butonu tıklanması sonrası aksiyon görülmemektedir.";High;;Done;15/Sep/22 10:55 AM;;C9015107;C9015107;;;;;;;;;;CONG-4212;;;;
CONG-7616;1316085;Sözleşmeleri Olmayan EBP Organizasyonunda Oluşturulan Talep Onaya Gönderilemiyor;Medium;;Done;15/Sep/22 11:31 AM;;C9013624;26049796;;;;CONG-2253;;;;;;;;;;
CONG-7619;1316458;Masrafın Mali Isler kullanıcısı tarafından Onaylanan Tutarı değiştirilip Kaydet butonuna tıklandığında alınan Process Action hatası;High;;Done;15/Sep/22 1:25 PM;;C9015107;C9015107;;;;;;;;;;CONG-4233;;;;
CONG-7632;1318100;"Türkiye kullanıcısında yemek limit değer iş kesici mesaj text'i (dil değişimi de dahil) 120,00 ve mesaide 75,00 iken 120.00 ve 75.00 olarak noktalı gözükmektedir";Low;;Done;16/Sep/22 9:25 AM;;C9015107;C9015107;;;;;;;;;;CONG-4980;CONG-1898;;;
CONG-7707;1324563;"Romanya kullanıcısı ile Otopark masraf tipinde 500 Ron üzeri iş kesici mesaj verirken, 2 ayrı masraf kartı ile aynı pakette 10 ve 490 Ron tutarı ile paket onaya gönderilmektedir.";Medium;;Done;20/Sep/22 1:29 PM;;C9015107;C9015107;;;;;;;;;;CONG-7684;;;;
CONG-7715;1325971;Oluşturulan masraf talebinin (türkiye ve romanya kullanıcısı ile) First Approver'da Send Back yapıldıktan sonra kullanıcıda masraf kartına tıklanarak masraf talep detayına gidildiğinde masraf tipi boş gözükmektedir.;High;;Done;20/Sep/22 8:29 PM;;C9015107;C9013691;;;;;;;;CONG-7723;;CONG-5543;;;;
CONG-7731;1327247;Romanya kullanıcısı ile Software Consumabiles masraf tipi tutar değeri için limit sınırına takılmamaktadır;High;;Done;21/Sep/22 10:40 AM;;C9015107;C9013486;;;;;;;;;;CONG-7663;;;;
CONG-7762;1329112;Romanya kullanıcısı ile Romanian dilinde 6 MB'dan büyük dosya yüklendiğinde gelen iş kesici mesajın İngilizce olması;Low;;Done;22/Sep/22 12:07 AM;;C9015107;C9015107;;;;CONG-7760;;;;;;CONG-7760;;;;
CONG-7764;1329121;Masrafın kopyalanması sonrası eksik dokümanın bulunduğu masraf itemın numarası ekranda gösterilen mesajda parametrik olarak gelmemektedir.;Medium;;Done;22/Sep/22 1:10 AM;;C9015107;C9015107;;;;;;;;;;CONG-7763;;;;
CONG-7785;1331274;Romanya kullanıcısı ile Medication tipinde masraf oluşturulup Gönder butonuna tıklandığında Ekranda gözüken SAP hatası;Medium;;Done;22/Sep/22 8:38 PM;;C9015107;C9013957;;;;;;;;;;CONG-7657;;;;
CONG-7833;1340959;"Mali işlerde Güncellenen (Gönderim tarihi, sipariş no vb değiştirilen) bir masrafın Kaydet butonuna tıklandığında aksiyon alınmaması";Medium;;Done;28/Sep/22 9:36 AM;;C9015107;C9015107;;;;;;;;;;CONG-4240;;;;
CONG-7841;1343681;"Türkiye kullanıcısı ile masraf dağılımlı bir masrafın limiti aşıldığında gelen iş kesici mesajda login olunan kullanıcı yerine, masraf dağılımına eklenen kullanıcının adı soyadı yazmaktadır.";Medium;;Done;29/Sep/22 9:00 AM;;C9015107;C9015107;;;;;;;;;;CONG-7796;;;;
CONG-7852;1344768;İzinlerim-Görevlerim sayfasında izin tarih sıralamaları ters sıralıyor;Medium;;Done;29/Sep/22 1:57 PM;;C9015118;C9012248;;;;CONG-8214;;;;;;;;CONG-8214;;
CONG-7866;1346307;Mali işler kullanıcısı ile yöneticide masraf talep detaylarına gidilerek Kaydet butonuna tıklandığında aksiyon alınmamaktadır.;Medium;;Done;29/Sep/22 11:43 PM;;C9015107;C9015107;;;;;;;;;;CONG-7814;;;;
CONG-7869;1347563;Romanya kullanıcısı ile Harcama Sebebinin zorunlu alan olarak gözükmediği görülmektedir.;Medium;;Done;30/Sep/22 11:20 AM;;C9015107;C9015107;;;;;;;;;;CONG-8048;;;;
CONG-7882;1349201;"Romanya'da Office Supplies, Other Consumables ve Software Consumables masraf tipleri seçilip Kaydet butonuna tıklandığında zorunlu alanları göstermeyip 400 hatası vermektedir.";Medium;;Done;30/Sep/22 4:27 PM;;C9015107;C9015107;;;;;;;;;;CONG-8047;;;;
CONG-7979;1354253;Oluşturulan Talep Detayına Tıklayınca Connecta Anasayfa'ya Yönlendiriyor;Medium;;Done;03/Oct/22 6:30 PM;;C9013624;26067460;;;;CONG-3041;;;;;;;;;;
CONG-8010;1356445;Yönetici onay adımlarında kart görünümü listelemeye çevrildikten sonra alanlarda gelen alanlarda dataların gelmediği görülmektedir.;High;;Done;04/Oct/22 1:57 PM;;C9013691;C9013691;;;;;;;;;PRJ-757;;;;;CONG-8839
CONG-8090;1358653;Oluşturulan masraf talebi kartındaki Kopyala butonuna tıklandığında ProcessAction hatası alınmaktadır.;Medium;;Done;05/Oct/22 10:54 AM;;C9015107;C9015107;;;;;;;;;;CONG-5521;;;;
CONG-8121;1359636;Romanya kullanıcısı ile masraf talebi oluşturulup Gönder butonuna tıklandığında SAP hatası alınmaktadır.;Blocker;;Done;05/Oct/22 3:44 PM;;C9015107;C9015107;;;;;;;;;;CONG-7714;;;;
CONG-8124;1360181;Sektor sorumlusu tarafından oluşturulan talep yönetici onay sayfasında işlem tipi farklı görünmektedir;Medium;;Done;05/Oct/22 9:31 PM;;C9013624;26067460;;;;CONG-8122;;;;;;;;;;
CONG-8127;1360187;Tr kullanıcısı ile oluşturulan masrafın masraf kartından limite takılmadan kopyalanabildiği görülmektedir;High;;Done;05/Oct/22 10:15 PM;;C9015107;C9015107;;;;;;;;;;CONG-8177;;;;
CONG-8175;1366108;"Tr kullanıcısı ile mali işlere gönderilen masrafın mali işlerde Mali Isler Grubu değiştirilerek ""Manisa-Çamaşır-Mali İşler"" yapılıp Onayla butonuna tıklandığında iş kesici mesaj alınmaktadır.";Medium;;Done;08/Oct/22 2:41 PM;;C9013486;C9015107;;;;;;;;;PRJ-757;CONG-5517;;;;
CONG-8220;1377370;Polonya kullanıcısı ile sayfa Polish dilindeyken VAT Tax Code alanı ve dropdown menüdeki liste İngilizce gözükmektedir.;Medium;;Done;13/Oct/22 2:27 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-8355;;;;
CONG-8234;1378036;Arama Alanında Asama ve İşlem Tipi Başlık Altında Yer alan Durumlar ile Arama Yapılmamaktadır;Medium;;Done;13/Oct/22 5:58 PM;;C9013624;26067460;;;;CONG-2213;;;;;;;;;;
