Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-6682;1265920;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 11:10 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6680;1265916;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 11:07 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6679;1265914;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 11:06 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6678;1265905;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 10:56 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6676;1265904;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 10:55 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6661;1265853;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 10:21 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6660;1265852;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 10:20 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6659;1265851;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;16/Aug/22 10:19 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6658;1265850;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;16/Aug/22 10:18 AM;TODO;C9013469;C9013469;/Fatura/Italya/RegresyonSeti
CONG-6652;1265621;Identity Info - Display - Czechia;Low;Generic;Done;16/Aug/22 9:38 AM;PASS;C9012751;C9015118;/HRangers/Bilgilerim/Çekya/Kontrol
CONG-6595;1263676;Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;Done;15/Aug/22 12:25 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/İspanya/Regresyon
CONG-6527;1262637;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;14/Aug/22 7:49 PM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
CONG-6526;1262636;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;14/Aug/22 7:48 PM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
